15, 2999, 35.151630, 0.998239, 35.764253;
65, 2999, 351.778377, 1.149425, 24.618076;
115, 2999, 832.621015, 1.161821, 23.740032;
165, 2999, 1410.132728, 1.147164, 23.899259;
215, 765, 2078.445811, 1.137967, 25.074997;
265, 266, 2870.137445, 1.149125, 26.089348;
315, 243, 3690.839116, 1.140742, 26.483958;
365, 156, 4612.356590, 1.143281, 25.877844;
415, 183, 5609.205638, 1.147112, 26.409702;
465, 134, 6643.172216, 1.145663, 27.122262;
515, 112, 7745.371239, 1.146199, 26.460641;
565, 123, 8902.951610, 1.146690, 27.159152;
615, 78, 10089.580053, 1.144437, 26.439318;
665, 100, 11386.486114, 1.148758, 27.302052;
715, 72, 12673.974259, 1.146989, 27.720344;
765, 101, 13969.430019, 1.142409, 26.690762;
815, 121, 15447.360204, 1.148892, 27.102470;
865, 102, 16828.629125, 1.144745, 26.670701;
915, 140, 18329.590830, 1.146109, 27.285290;
965, 174, 19815.454588, 1.144027, 26.772481;
